,director_name,director_facebook_likes,actor_name,actor_facbook_likes,movie_title,title_year,movie_facebook_likes,num_voted_users,cast_total_facebook_likes,movie_imdb_link,language,country,content_rating,imdb_score,aspect_ratio,Release.Date.new,release.year.new,budget.adjusted,domestic.gross.adjusted,worldwide.new.adjusted,genreLabelName
54,Barry Sonnenfeld,188,Will Smith,10000,MeninBlack,2012,40000,268154,12572,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,English,USA,PG-13,6.8,1.85,2012-05-25 00:00:00,2012,251673185.6,209556970.3,765804613.3,Family
55,Barry Sonnenfeld,188,Michael Stuhlbarg,816,MeninBlack,2012,40000,268154,12572,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,English,USA,PG-13,6.8,1.85,2012-05-25 00:00:00,2012,251673185.6,209556970.3,765804613.3,Family
56,Barry Sonnenfeld,188,Nicole Scherzinger,718,MeninBlack,2012,40000,268154,12572,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,English,USA,PG-13,6.8,1.85,2012-05-25 00:00:00,2012,251673185.6,209556970.3,765804613.3,Family
57,Peter Jackson,0,Aidan Turner,5000,TheHobbitTheBattleoftheFiveArmies,2014,65000,354228,9152,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,7.5,2.35,2014-12-17 00:00:00,2014,274776192,280403375.4,1049776713,Action Adventure
58,Peter Jackson,0,Adam Brown,972,TheHobbitTheBattleoftheFiveArmies,2014,65000,354228,9152,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,7.5,2.35,2014-12-17 00:00:00,2014,274776192,280403375.4,1049776713,Action Adventure
59,Peter Jackson,0,James Nesbitt,773,TheHobbitTheBattleoftheFiveArmies,2014,65000,354228,9152,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,7.5,2.35,2014-12-17 00:00:00,2014,274776192,280403375.4,1049776713,Action Adventure
60,Marc Webb,464,Emma Stone,15000,TheAmazingSpiderMan,2012,56000,451803,28489,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,English,USA,PG-13,7,2.35,2012-07-03 00:00:00,2012,257526050.4,306726007.9,887165850.5,Action Adventure
61,Marc Webb,464,Andrew Garfield,10000,TheAmazingSpiderMan,2012,56000,451803,28489,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,English,USA,PG-13,7,2.35,2012-07-03 00:00:00,2012,257526050.4,306726007.9,887165850.5,Action Adventure
62,Marc Webb,464,Chris Zylka,963,TheAmazingSpiderMan,2012,56000,451803,28489,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,English,USA,PG-13,7,2.35,2012-07-03 00:00:00,2012,257526050.4,306726007.9,887165850.5,Action Adventure
63,Ridley Scott,0,Mark Addy,891,RobinHood,2010,17000,211765,3244,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,English,USA,PG-13,6.7,2.35,2010-05-14 00:00:00,2010,261804541.4,131238539.9,401734815.1,Drama
64,Ridley Scott,0,William Hurt,882,RobinHood,2010,17000,211765,3244,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,English,USA,PG-13,6.7,2.35,2010-05-14 00:00:00,2010,261804541.4,131238539.9,401734815.1,Drama
65,Ridley Scott,0,Scott Grimes,738,RobinHood,2010,17000,211765,3244,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,English,USA,PG-13,6.7,2.35,2010-05-14 00:00:00,2010,261804541.4,131238539.9,401734815.1,Drama
66,Peter Jackson,0,Aidan Turner,5000,TheHobbitTheDesolationofSmaug,2013,83000,483540,9152,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,English,USA,PG-13,7.9,2.35,2013-12-13 00:00:00,2013,283569030.1,293059354,1089321191,Action Adventure
67,Peter Jackson,0,Adam Brown,972,TheHobbitTheDesolationofSmaug,2013,83000,483540,9152,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,English,USA,PG-13,7.9,2.35,2013-12-13 00:00:00,2013,283569030.1,293059354,1089321191,Action Adventure
68,Peter Jackson,0,James Nesbitt,773,TheHobbitTheDesolationofSmaug,2013,83000,483540,9152,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,English,USA,PG-13,7.9,2.35,2013-12-13 00:00:00,2013,283569030.1,293059354,1089321191,Action Adventure
69,Chris Weitz,129,Christopher Lee,16000,TheGoldenCompass,2007,0,149019,24106,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,English,USA,PG-13,6.1,2.35,2007-12-01 00:00:00,2007,280899414.5,96064486.57,503238231.8,Family
70,Chris Weitz,129,Eva Green,6000,TheGoldenCompass,2007,0,149019,24106,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,English,USA,PG-13,6.1,2.35,2007-12-01 00:00:00,2007,280899414.5,96064486.57,503238231.8,Family
71,Chris Weitz,129,Kristin Scott Thomas,1000,TheGoldenCompass,2007,0,149019,24106,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,English,USA,PG-13,6.1,2.35,2007-12-01 00:00:00,2007,280899414.5,96064486.57,503238231.8,Family
72,Peter Jackson,0,Naomi Watts,6000,KingKong,2005,0,316018,7123,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,7.2,2.35,2005-12-14 00:00:00,2005,302083297.2,318252816.5,803391779.6,Drama
73,Peter Jackson,0,Thomas Kretschmann,919,KingKong,2005,0,316018,7123,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,7.2,2.35,2005-12-14 00:00:00,2005,302083297.2,318252816.5,803391779.6,Drama
74,Peter Jackson,0,Evan Parke,84,KingKong,2005,0,316018,7123,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,PG-13,7.2,2.35,2005-12-14 00:00:00,2005,302083297.2,318252816.5,803391779.6,Drama
75,James Cameron,0,Leonardo DiCaprio,29000,Titanic,1997,26000,793059,45223,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,English,USA,PG-13,7.7,2.35,1997-12-19 00:00:00,1997,375512105,1236697113,4144932033,Romance Drama
76,James Cameron,0,Kate Winslet,14000,Titanic,1997,26000,793059,45223,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,English,USA,PG-13,7.7,2.35,1997-12-19 00:00:00,1997,375512105,1236697113,4144932033,Romance Drama
77,James Cameron,0,Gloria Stuart,794,Titanic,1997,26000,793059,45223,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,English,USA,PG-13,7.7,2.35,1997-12-19 00:00:00,1997,375512105,1236697113,4144932033,Romance Drama
78,Anthony Russo,94,Robert Downey Jr.,21000,CaptainAmericaCivilWar,2016,72000,272670,64798,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,English,USA,PG-13,8.2,2.35,2016-05-06 00:00:00,2016,258000000,421143048.2,1188538248,Action Adventure
79,Anthony Russo,94,Scarlett Johansson,19000,CaptainAmericaCivilWar,2016,72000,272670,64798,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,English,USA,PG-13,8.2,2.35,2016-05-06 00:00:00,2016,258000000,421143048.2,1188538248,Action Adventure
80,Anthony Russo,94,Chris Evans,11000,CaptainAmericaCivilWar,2016,72000,272670,64798,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,English,USA,PG-13,8.2,2.35,2016-05-06 00:00:00,2016,258000000,421143048.2,1188538248,Action Adventure
81,Peter Berg,532,Liam Neeson,14000,Battleship,2012,44000,202382,26679,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,English,USA,PG-13,5.9,2.35,2012-05-18 00:00:00,2012,244649747.9,76360453.9,357280203.5,Action Adventure
82,Peter Berg,532,Alexander Skarsg̴rd,10000,Battleship,2012,44000,202382,26679,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,English,USA,PG-13,5.9,2.35,2012-05-18 00:00:00,2012,244649747.9,76360453.9,357280203.5,Action Adventure
83,Peter Berg,532,Tadanobu Asano,627,Battleship,2012,44000,202382,26679,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,English,USA,PG-13,5.9,2.35,2012-05-18 00:00:00,2012,244649747.9,76360453.9,357280203.5,Action Adventure
84,Colin Trevorrow,365,Bryce Dallas Howard,3000,JurassicWorld,2015,150000,418214,8458,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,English,USA,PG-13,7,2,2015-06-12 00:00:00,2015,228980160,694606533.4,1780337351,Action Adventure
85,Colin Trevorrow,365,Judy Greer,2000,JurassicWorld,2015,150000,418214,8458,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,English,USA,PG-13,7,2,2015-06-12 00:00:00,2015,228980160,694606533.4,1780337351,Action Adventure
86,Colin Trevorrow,365,Omar Sy,1000,JurassicWorld,2015,150000,418214,8458,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,English,USA,PG-13,7,2,2015-06-12 00:00:00,2015,228980160,694606533.4,1780337351,Action Adventure
87,Sam Mendes,0,Albert Finney,883,Skyfall,2012,80000,522030,2039,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,PG-13,7.8,2.35,2012-11-08 00:00:00,2012,234114591.3,356275909.3,1299952851,Action Adventure
88,Sam Mendes,0,Helen McCrory,563,Skyfall,2012,80000,522030,2039,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,PG-13,7.8,2.35,2012-11-08 00:00:00,2012,234114591.3,356275909.3,1299952851,Action Adventure
89,Sam Mendes,0,Rory Kinnear,393,Skyfall,2012,80000,522030,2039,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,PG-13,7.8,2.35,2012-11-08 00:00:00,2012,234114591.3,356275909.3,1299952851,Action Adventure
90,Sam Raimi,0,J.K. Simmons,24000,SpiderMan,2004,0,411164,43388,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,PG-13,7.3,2.35,2007-05-04 00:00:00,2007,353522190,461127634.5,1220713907,Action Adventure
91,Sam Raimi,0,James Franco,11000,SpiderMan,2004,0,411164,43388,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,PG-13,7.3,2.35,2007-05-04 00:00:00,2007,353522190,461127634.5,1220713907,Action Adventure
92,Sam Raimi,0,Kirsten Dunst,4000,SpiderMan,2004,0,411164,43388,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,PG-13,7.3,2.35,2007-05-04 00:00:00,2007,353522190,461127634.5,1220713907,Action Adventure
93,Shane Black,1000,Robert Downey Jr.,21000,IronMan,2013,95000,557489,30426,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,English,USA,PG-13,7.2,2.35,2013-05-03 00:00:00,2013,226855224.1,463910167.6,1378590431,Action Adventure
94,Shane Black,1000,Jon Favreau,4000,IronMan,2013,95000,557489,30426,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,English,USA,PG-13,7.2,2.35,2013-05-03 00:00:00,2013,226855224.1,463910167.6,1378590431,Action Adventure
95,Shane Black,1000,Don Cheadle,3000,IronMan,2013,95000,557489,30426,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,English,USA,PG-13,7.2,2.35,2013-05-03 00:00:00,2013,226855224.1,463910167.6,1378590431,Action Adventure
96,Tim Burton,13000,Johnny Depp,40000,AliceinWonderland,2010,24000,306320,79957,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,USA,PG,6.5,1.85,2010-03-05 00:00:00,2010,249337658.5,416632144.2,1278467761,Family
97,Tim Burton,13000,Alan Rickman,25000,AliceinWonderland,2010,24000,306320,79957,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,USA,PG,6.5,1.85,2010-03-05 00:00:00,2010,249337658.5,416632144.2,1278467761,Family
98,Tim Burton,13000,Anne Hathaway,11000,AliceinWonderland,2010,24000,306320,79957,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,USA,PG,6.5,1.85,2010-03-05 00:00:00,2010,249337658.5,416632144.2,1278467761,Family
99,Brett Ratner,420,Hugh Jackman,20000,XMenTheLastStand,2006,0,383427,21714,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,English,Canada,PG-13,6.8,2.35,2006-05-26 00:00:00,2006,296958639.6,331409323.2,649575183.4,Action Adventure
